player_id,name,position,league,age,market_value_eur,model_implied_eur,top_positive_drivers,top_negative_drivers,quality_pctl,potential,value_efficiency,risk_component,exit_probability
655012,Lucas Stassin,Attack,France - Ligue 1,20.1,18000000.0,31076445.0,goal contributions per 90 (+1.028); age (+0.740); goals per 90 (+0.104); assists per 90 (+0.073); league minutes played (+0.042),plays in France - Ligue 1 (-0.372); minutes last season (-0.091); minutes per appearance (-0.045); contributions per 90 last season (-0.040); 3-season average minutes (-0.031),90.0,0.762,0.818,0.117,0.1353
660860,Diego Coppola,Defender,Italy - Serie A,21.0,10000000.0,27139273.0,age (+0.955); league minutes played (+0.336); height (+0.138); minutes per appearance (+0.114); plays in France - Ligue 1 (+0.081),goal contributions per 90 (-0.179); plays in Italy - Serie A (-0.155); club squad size / rotation (-0.140); 3-season average minutes (-0.053); assists per 90 (-0.026),89.0,0.691,0.931,0.327,0.1292
983989,Facundo Buonanotte,Midfield,England - Premier League,20.0,20000000.0,20297220.0,age (+0.764); goal contributions per 90 (+0.137); plays in Spain - LaLiga (+0.120); plays in France - Ligue 1 (+0.116); plays in Germany - Bundesliga (+0.108),league minutes played (-0.143); minutes per appearance (-0.099); club squad size / rotation (-0.082); disciplinary record (-0.055); 3-season average minutes (-0.051),86.0,0.767,0.567,0.24,0.2486
