family,mean_abs_shap,share_pct
current-season performance,0.6260833151014403,28.0
performance trajectory,0.4885829843547738,21.8
age,0.4726370349848956,21.1
league context,0.4240238227007737,18.9
position,0.08961191063901294,4.0
club context,0.0747792264820782,3.3
physical,0.05928842506913307,2.6
foot,0.004571121482077465,0.2
