season,split,age_band,n,mean_residual
2022,VALIDATION,<=21,92,0.1905
2022,VALIDATION,22-24,307,0.0924
2022,VALIDATION,25-27,444,0.012
2022,VALIDATION,28-30,383,-0.0736
2022,VALIDATION,31+,406,-0.0942
2023,VALIDATION,<=21,103,0.3144
2023,VALIDATION,22-24,347,0.1139
2023,VALIDATION,25-27,440,0.0743
2023,VALIDATION,28-30,363,-0.1192
2023,VALIDATION,31+,359,-0.0854
2024,TEST,<=21,98,0.5531
2024,TEST,22-24,329,0.164
2024,TEST,25-27,417,0.116
2024,TEST,28-30,345,-0.0998
2024,TEST,31+,319,-0.1438
