player_id,positive_drivers,negative_drivers
53622,league context (+0.351); seasons of top-5 history (+0.209); minutes last season (+0.111); league minutes (+0.106); 3-season average output (+0.103),age (-1.595); minutes per appearance (-0.077); height (-0.064); minutes consistency (-0.020); position: Defender (-0.019)
54906,seasons of top-5 history (+0.292); minutes last season (+0.087); club squad rotation (+0.067); league context (+0.058); position: Defender (+0.053),age (-1.928); minutes per appearance (-0.106); height (-0.083); goal contributions per 90 (-0.040); league minutes (-0.037)
55089,seasons of top-5 history (+0.294); 3-season average minutes (+0.112); league minutes (+0.109); minutes last season (+0.106); disciplinary record (+0.093),age (-1.662); league context (-0.226); goal contributions per 90 (-0.140); club squad rotation (-0.105); goals per 90 (-0.079)
55508,3-season average minutes (+0.082); position: Midfield (+0.077); 3-season average output (+0.047); change in goals/90 (+0.031); seasons of top-5 history (+0.029),age (-1.498); gap since last season (-0.249); league minutes (-0.168); league context (-0.150); minutes per appearance (-0.130)
55735,seasons of top-5 history (+0.278); league minutes (+0.100); minutes last season (+0.092); 3-season average minutes (+0.089); league context (+0.083),age (-2.199); height (-0.058); goals per 90 (-0.035); goal contributions per 90 (-0.023); position: Defender (-0.017)
55769,seasons of top-5 history (+0.361); 3-season average output (+0.104); output consistency (+0.056); position: Defender (+0.041); gap since last season (+0.014),age (-1.804); league minutes (-0.199); goal contributions per 90 (-0.158); height (-0.067); 3-season average minutes (-0.066)
57071,seasons of top-5 history (+0.288); height (+0.194); league minutes (+0.126); disciplinary record (+0.121); minutes per appearance (+0.102),age (-1.587); goal contributions per 90 (-0.144); league context (-0.130); minutes consistency (-0.126); goals per 90 (-0.059)
58358,3-season average output (+0.311); seasons of top-5 history (+0.290); contributions/90 last season (+0.164); assists/90 last season (+0.128); assists per 90 (+0.060),age (-1.674); league context (-0.278); minutes per appearance (-0.228); league minutes (-0.135); position: Midfield (-0.049)
58995,disciplinary record (+0.139); 3-season average minutes (+0.117); minutes last season (+0.117); club squad rotation (+0.108); height (+0.059),age (-1.239); league context (-0.185); goal contributions per 90 (-0.147); goals per 90 (-0.072); minutes per appearance (-0.056)
59323,goal contributions per 90 (+1.040); 3-season average output (+0.247); goals per 90 (+0.162); contributions/90 last season (+0.152); league context (+0.122),age (-2.134); minutes per appearance (-0.243); league minutes (-0.188); gap since last season (-0.173); minutes consistency (-0.067)
59377,league minutes (+0.293); seasons of top-5 history (+0.263); 3-season average minutes (+0.138); height (+0.137); disciplinary record (+0.136),age (-1.576); gap since last season (-0.224); goal contributions per 90 (-0.150); club squad rotation (-0.071); goals per 90 (-0.065)
59561,seasons of top-5 history (+0.389); league context (+0.149); 3-season average minutes (+0.128); league minutes (+0.099); minutes last season (+0.086),age (-2.114); height (-0.084); minutes per appearance (-0.080); club squad rotation (-0.042); goal contributions per 90 (-0.040)
60543,minutes per appearance (+0.075); height (+0.064); club squad rotation (+0.027); minutes consistency (+0.022); gap since last season (+0.022),age (-1.179); goal contributions per 90 (-0.212); league context (-0.203); league minutes (-0.175); minutes last season (-0.064)
60561,seasons of top-5 history (+0.265); 3-season average minutes (+0.137); minutes last season (+0.085); minutes per appearance (+0.073); club squad rotation (+0.068),age (-1.428); league context (-0.213); goal contributions per 90 (-0.208); league minutes (-0.133); goals per 90 (-0.069)
61812,seasons of top-5 history (+0.375); league context (+0.158); 3-season average output (+0.124); league minutes (+0.068); position: Defender (+0.051),age (-1.754); goal contributions per 90 (-0.148); height (-0.117); minutes consistency (-0.061); minutes per appearance (-0.058)
61841,league context (+0.364); seasons of top-5 history (+0.239); minutes last season (+0.077); 3-season average minutes (+0.060); club squad rotation (+0.030),age (-1.451); goal contributions per 90 (-0.230); league minutes (-0.169); 3-season average output (-0.074); height (-0.062)
62351,seasons of top-5 history (+0.104); position: Defender (+0.028); 3-season average minutes (+0.027); club squad rotation (+0.024); minutes per appearance (+0.017),age (-1.742); goal contributions per 90 (-0.224); gap since last season (-0.163); league context (-0.161); league minutes (-0.096)
64399,seasons of top-5 history (+0.389); league minutes (+0.222); height (+0.183); league context (+0.166); disciplinary record (+0.108),age (-2.394); goal contributions per 90 (-0.146); goals per 90 (-0.053); 3-season average output (-0.051); position: Midfield (-0.029)
65278,goal contributions per 90 (+0.887); seasons of top-5 history (+0.275); goals per 90 (+0.157); 3-season average output (+0.079); height (+0.045),age (-1.909); minutes per appearance (-0.227); gap since last season (-0.204); league minutes (-0.196); position: Midfield (-0.046)
66100,seasons of top-5 history (+0.230); position: Midfield (+0.085); 3-season average minutes (+0.080); league context (+0.056); club squad rotation (+0.022),age (-1.262); league minutes (-0.213); goal contributions per 90 (-0.197); minutes consistency (-0.106); height (-0.083)
