player_id,name,season,league,club_name,main_club_id,position,sub_position,market_value_eur,log_market_value,target_value_date,target_lag_days,prior_market_value_eur,transfer_fee_eur,age,age2,height_in_cm,foot,minutes,games,goals_per90,assists_per90,goal_contributions_per90,cards_per90,minutes_per_game,availability,prev_minutes,prev_goals_per90,prev_assists_per90,prev_goal_contributions_per90,delta_minutes,delta_goals_per90,delta_assists_per90,delta_goal_contributions_per90,roll3_mean_goal_contributions_per90,roll3_mean_minutes,roll3_std_goal_contributions_per90,roll3_std_minutes,seasons_observed,has_prior_season,has_3yr_history,is_first_observed_season,prior_gap_years,young_and_improving,club_squad_size,log_prior_market_value,has_prior_value,market_level,y_adj,pred_adj,pred_log,pred_eur,residual,mispricing_ratio,next_minutes,next_games,next_goals,next_assists,next_last_match,next_gc90,outcome_anchor,next_value_eur,d_log_value,segment_uncertainty,flag_undervalued,peer_d_log_value,rel_appreciation
12282,Daley Blind,2024,Spain - LaLiga,Girona FC,12321,Defender,Centre-Back,1500000.0,14.22097566607244,2025-06-09,15.0,3000000.0,,34.81724845995893,1212.2407903225126,180.0,left,2780,34,0.0,0.0971223021582733,0.0971223021582733,0.0647482014388489,81.76470588235294,0.9084967320261438,2972.0,0.0302826379542395,0.0605652759084791,0.0908479138627187,-192.0,-0.0302826379542395,0.0365570262497942,0.0062743882955546,0.0987453107251933,2639.0,0.0454452382026624,705.1659379181613,3,1,1,0,1.0,0,30,14.914122846632385,1,15.83041357850654,-1.6094379124341014,-1.911616100088384,13.918797478418156,1108809.5035659494,0.30217818765428284,0.7392063357106329,2610.0,31.0,0.0,0.0,2026-05-01,0.0,2026-05-01,1200000.0,-0.2231435513142106,0.47161229060834664,False,-0.2231435513142106,0.0
14086,Ashley Young,2024,England - Premier League,Everton FC,29,Defender,Right-Back,500000.0,13.122363377404328,2025-05-30,5.0,500000.0,,39.48254620123203,1558.871454532422,175.0,both,1870,32,0.0481283422459893,0.1443850267379679,0.1925133689839572,0.3850267379679144,58.4375,0.6493055555555556,2290.0,0.0,0.0,0.0,-420.0,0.0481283422459893,0.1443850267379679,0.1925133689839572,0.0631855805923321,1855.3333333333333,0.0745415138915308,549.2734595202406,8,1,1,0,1.0,0,26,13.122363377404328,1,15.83041357850654,-2.7080502011022123,-1.783364589660373,14.047048988846168,1260537.7692248903,-0.9246856114418396,2.5210755384497805,,,,,,,2026-05-24,,,0.42682813849232915,True,-0.12783337150988672,
15452,Raúl Albiol,2024,Spain - LaLiga,Villarreal CF,1050,Defender,Centre-Back,1300000.0,14.077874822431763,2024-12-27,5.0,1500000.0,,39.3264887063655,1546.572713971893,190.0,right,1189,15,0.0,0.0,0.0,0.3027754415475189,79.26666666666667,0.8807407407407407,2035.0,0.0,0.0442260442260442,0.0442260442260442,-846.0,0.0,-0.0442260442260442,-0.0442260442260442,0.0147420147420147,2206.6666666666665,0.0255339185390989,228.4826762214885,9,1,1,0,1.0,0,31,14.22097566607244,1,15.83041357850654,-1.7525387560747774,-1.9732144952754493,13.857199083231091,1042569.6940549952,0.22067573920067218,0.8019766877346117,502.0,8.0,0.0,1.0,2026-03-22,0.17928286852589642,2026-03-22,700000.0,-0.6190392084062228,0.47161229060834664,False,-0.2231435513142106,-0.39589565709201224
16136,Dante,2024,France - Ligue 1,OGC Nice,417,Defender,Centre-Back,500000.0,13.122363377404328,2025-06-03,17.0,500000.0,,41.20739219712526,1698.0491716876998,188.0,left,1967,25,0.0,0.0,0.0,0.2745297407219115,78.68,0.8742222222222222,2844.0,0.0316455696202531,0.0316455696202531,0.0632911392405063,-877.0,-0.0316455696202531,-0.0316455696202531,-0.0632911392405063,0.058811820327371,3005.6666666666665,0.0255423138560242,255.3122271520372,8,1,1,0,1.0,0,31,13.122363377404328,1,15.83041357850654,-2.7080502011022123,-2.0264146364627695,13.803998942043771,988554.3892120221,-0.6816355646394427,1.9771087784240442,852.0,12.0,0.0,1.0,2026-05-17,0.1056338028169014,2026-05-17,500000.0,0.0,0.5725140793154493,False,-0.1823215567939549,0.1823215567939549
16306,Casemiro,2024,England - Premier League,Manchester United,985,Midfield,Defensive Midfield,10000000.0,16.11809565095832,2025-05-30,5.0,20000000.0,,32.85694729637235,1079.57898563659,185.0,right,1498,24,0.0600801068090787,0.0,0.0600801068090787,0.3004005340453938,62.41666666666666,0.6935185185185185,1985.0,0.0453400503778337,0.0906801007556675,0.1360201511335012,-487.0,0.014740056431245,-0.0906801007556675,-0.0759400443244224,0.2019766119337139,2231.6666666666665,0.0830337861333721,307.3667733072871,9,1,1,0,1.0,0,31,16.811242831518264,1,15.83041357850654,0.2876820724517799,-0.9522231041327174,14.878190474373824,2894116.596400259,1.2399051765844966,0.2894116596400259,2589.0,34.0,9.0,2.0,2026-05-17,0.3823870220162225,2026-05-17,6000000.0,-0.5108256237659905,0.3167842881045617,False,-0.2076393647782453,-0.3031862589877452
17259,Manuel Neuer,2024,Germany - Bundesliga,Bayern Munich,27,Goalkeeper,Goalkeeper,4000000.0,15.201804919084164,2025-06-05,19.0,4000000.0,,38.76796714579056,1502.955276617096,193.0,right,1980,22,0.0,0.0,0.0,0.0,90.0,1.0,2054.0,0.0,0.0,0.0,-74.0,0.0,0.0,0.0,0.0,1881.6666666666667,0.0,730.8996739179279,8,1,1,0,1.0,0,29,15.201804919084164,1,15.83041357850654,-0.6286086594223761,-1.7849807337106565,14.045432844795885,1258502.2039354274,1.1563720742882797,0.31462555098385686,1860.0,22.0,0.0,0.0,2026-05-16,0.0,2026-05-16,4000000.0,0.0,0.579806104461345,False,-0.16823611831060603,0.16823611831060603
23951,Steve Mandanda,2024,France - Ligue 1,Stade Rennais FC,273,Goalkeeper,Goalkeeper,500000.0,13.122363377404328,2025-06-03,17.0,800000.0,,39.76454483230664,1581.2190257205248,187.0,right,1486,18,0.0,0.0,0.0,0.0,82.55555555555556,0.917283950617284,3060.0,0.0,0.0,0.0,-1574.0,0.0,0.0,0.0,0.0099502487562189,3135.0,0.0172343363937201,170.36725037400805,7,1,1,0,1.0,0,35,13.592367006650065,1,15.83041357850654,-2.7080502011022123,-1.7573489975509347,14.073064580955606,1293761.7019696496,-0.9507012035512776,2.5875234039392994,,,,,,,2026-05-24,,,0.3445641297869999,True,-0.34258950545538536,
27992,Luka Modrić,2024,Spain - LaLiga,Real Madrid,418,Midfield,Central Midfield,4000000.0,15.201804919084164,2025-06-09,16.0,6000000.0,,39.31279945242984,1545.496200786968,172.0,right,1820,35,0.0989010989010989,0.2967032967032967,0.3956043956043956,0.3461538461538461,52.0,0.5777777777777777,1687.0,0.1066982809721399,0.3200948429164197,0.4267931238885596,133.0,-0.007797182071041,-0.023391546213123,-0.031188728284164,0.4093047846486218,1825.6666666666667,0.0421379604642011,192.93090300243088,8,1,1,0,1.0,0,30,15.60727002719233,1,15.83041357850654,-0.6286086594223761,-1.1524354143105209,14.67797816419602,2368999.244419646,0.5238267548881446,0.5922498111049115,2816.0,34.0,2.0,3.0,2026-05-24,0.15980113636363638,2026-05-24,3500000.0,-0.13353139262452274,0.4461770408809116,False,-0.1823215567939549,0.04879016416943216
29692,Lukasz Fabianski,2024,England - Premier League,West Ham United,379,Goalkeeper,Goalkeeper,500000.0,13.122363377404328,2025-05-30,5.0,700000.0,,39.70704996577687,1576.6498169847007,190.0,right,1161,14,0.0,0.0,0.0,0.1550387596899224,82.92857142857143,0.9214285714285714,3113.0,0.0,0.0,0.0,-1952.0,0.0,0.0,0.0,0.0,3407.6666666666665,0.0,340.2151280195125,8,1,1,0,2.0,0,27,13.458835614025542,1,15.83041357850654,-2.7080502011022123,-2.064608632747195,13.765804945759346,951509.4960564012,-0.6434415683550174,1.9030189921128022,,,,,,,2026-05-24,150000.0,-1.203972804325936,0.40770539672735495,False,-0.49041462650586176,-0.7135581778200741
32113,Armando Izzo,2024,Italy - Serie A,AC Monza,2919,Defender,Centre-Back,1500000.0,14.22097566607244,2025-06-17,24.0,2500000.0,,32.83504449007529,1078.1401466652237,183.0,right,2439,30,0.03690036900369,0.03690036900369,0.07380073800738,0.4428044280442804,81.3,0.9033333333333332,1652.0,0.0,0.0,0.0,787.0,0.03690036900369,0.03690036900369,0.07380073800738,0.0494004185143823,2170.6666666666665,0.0428050073905082,451.52777692333984,8,1,1,0,1.0,0,36,14.73180128983843,1,15.83041357850654,-1.6094379124341014,-1.4143311308384694,14.416082447668071,1823161.1493974703,-0.19510678159563177,1.2154407662649802,,,,,,,2026-05-24,,,0.39329725670178206,False,-0.17242024314586502,
