signal,n_flagged_with_outcome,median_rel_appreciation,p_value,attrition_pct,verdict
v1 raw residual (pre-registered),110,0.0336,0.0935,39.7,NULL - selects cheap ageing players
v2 calibrated + screened,128,0.1542,0.3072,30.1,see result above
