player_id,name,position,league,club_name,age,minutes,goal_contributions_per90,market_value_eur,pred_eur,mispricing_ratio,residual,calibrated_residual,seg_unc
274461,Felix Passlack,Defender,Germany - Bundesliga,VfL Bochum,26.595482546201232,2345,0.2686567164179104,2000000.0,10081388.95060347,5.040694475301735,-1.6175438653093297,-1.6242359337560903,0.4233984470101193
284884,Óscar Rodríguez,Midfield,Spain - LaLiga,CD Leganés,26.51334702258727,1323,0.3401360544217687,2000000.0,9330087.956443897,4.665043978221948,-1.540097261526455,-1.538896652783676,0.4461770408809116
807688,Yassin Belkhdim,Midfield,France - Ligue 1,Angers SCO,22.88021902806297,1519,0.1184990125082291,1000000.0,4801576.252963985,4.801576252963986,-1.5689442500411168,-1.5057869835943603,0.5289156290844801
512352,Lasse Rosenboom,Defender,Germany - Bundesliga,Holstein Kiel,22.951403148528406,1738,0.2071346375143843,1500000.0,6835281.458298645,4.55685430553243,-1.5166325401955785,-1.4851318021090474,0.4233984470101193
581357,Jan Schöppner,Midfield,Germany - Bundesliga,1. Fußballclub Heidenheim 1846,25.557837097878167,2688,0.2008928571428571,4000000.0,16433982.561977971,4.1084956404944935,-1.4130569372943462,-1.4727731688059553,0.3189398516478032
633454,Alexander Bernhardsson,Attack,Germany - Bundesliga,Holstein Kiel,26.31622176591376,1271,0.7081038552321007,3000000.0,12664101.106580997,4.221367035526998,-1.4401590176580257,-1.4709072054522683,0.4301634824676839
422466,Javi Hernández,Defender,Spain - LaLiga,CD Leganés,26.6694045174538,2391,0.1129234629861982,2500000.0,10561041.89815417,4.224416759261668,-1.4408812061348613,-1.4523773351924123,0.4716122906083466
763182,Josué Casimir,Attack,France - Ligue 1,Le Havre AC,23.27173169062286,2006,0.448654037886341,4000000.0,15981679.30625323,3.995419826563308,-1.3851486616977091,-1.4416867159042963,0.5384759850371825
392569,Gabriele Zappa,Defender,Italy - Serie A,Cagliari Calcio,25.02943189596167,3062,0.0587851077726975,4000000.0,14629593.936660392,3.657398484165098,-1.2967520980013454,-1.3433434315692245,0.393297256701782
423444,Fran Beltrán,Midfield,Spain - LaLiga,Celta de Vigo,25.911019849418206,2428,0.1112026359143327,8000000.0,26588331.67551238,3.323541459439048,-1.2010309190535704,-1.3183913316150064,0.4461770408809116
948273,Mario Martín,Midfield,Spain - LaLiga,Real Valladolid CF,20.826830937713893,1750,0.0514285714285714,1500000.0,5710472.932261313,3.806981954840876,-1.3368367373946093,-1.2888558975292208,0.4461770408809116
917375,Antoine Hainaut,Defender,Italy - Serie A,Parma Calcio 1913,22.869267624914443,1198,0.1502504173622704,1000000.0,3758414.4319366855,3.7584144319366857,-1.323997174830179,-1.2405904626160786,0.393297256701782
505674,Sergio Camello,Attack,Spain - LaLiga,Rayo Vallecano,23.89048596851472,1139,0.3950834064969271,3000000.0,9840749.59653231,3.2802498655107697,-1.1879195980039974,-1.1921345726946542,0.37904911067644154
343959,Erhan Masovic,Defender,Germany - Bundesliga,VfL Bochum,26.11088295687885,907,0.1984564498346196,2000000.0,6726744.448128265,3.3633722240641326,-1.2129441087814357,-1.1799456702449065,0.4233984470101193
651269,Armin Gigovic,Midfield,Germany - Bundesliga,Holstein Kiel,22.740588637919235,1905,0.3307086614173228,3000000.0,9697526.858920315,3.2325089529734385,-1.17325860133473,-1.1759769839881093,0.3189398516478032
445126,Emanuele Valeri,Defender,Italy - Serie A,Parma Calcio 1913,26.069815195071868,2879,0.2500868357068426,3000000.0,9665221.622621927,3.221740540873976,-1.1699217541609386,-1.1723002119856896,0.393297256701782
624037,Joris Chotard,Midfield,France - Ligue 1,Montpellier HSC,23.27173169062286,1871,0.0481026189203634,6000000.0,17720446.36601145,2.953407727668574,-1.0829596655871168,-1.1513494600934797,0.5289156290844801
390688,Juan Iglesias,Defender,Spain - LaLiga,Getafe CF,26.49965776865161,2890,0.0311418685121107,3500000.0,10901808.628492694,3.114802465283627,-1.1361657361945134,-1.150973063056034,0.4716122906083466
694509,Moussa Diarra,Defender,Spain - LaLiga,Deportivo Alavés,24.142368240930868,1863,0.0,1800000.0,5937263.643931182,3.29847980218399,-1.1934616963284022,-1.1489867628361425,0.4716122906083466
568698,Issa Soumaré,Attack,France - Ligue 1,Le Havre AC,24.22724161533197,1904,0.4254201680672269,2000000.0,6457754.280702896,3.228877140351448,-1.1721344422295452,-1.1353445044022792,0.5384759850371825
660860,Diego Coppola,Defender,Italy - Serie A,Hellas Verona,21.01300479123888,2926,0.0615174299384825,10000000.0,27139272.56385668,2.713927256385668,-0.998396757953124,-1.1183343551052394,0.393297256701782
618809,Manu Sánchez,Defender,Spain - LaLiga,Deportivo Alavés,24.35592060232717,2640,0.034090909090909,6000000.0,17196351.39860106,2.8660585664335096,-1.052937764100717,-1.1178566786562862,0.4716122906083466
324811,Arnaud Nordin,Attack,France - Ligue 1,Montpellier HSC,26.54346338124572,1246,0.3611556982343499,5000000.0,14048260.260160226,2.809652052032045,-1.0330606507790885,-1.0751503174670947,0.5384759850371825
1068110,Rabby Nzingoula,Midfield,France - Ligue 1,Montpellier HSC,19.10198494182067,1695,0.0530973451327433,2500000.0,7368978.511852597,2.9475914047410385,-1.0809883638869948,-1.0566021887487118,0.5289156290844801
469211,Liberato Cacace,Defender,Italy - Serie A,FC Empoli,24.26283367556468,2231,0.242043926490363,3000000.0,8669735.616419844,2.889911872139948,-1.0612260075901645,-1.0526735529484543,0.393297256701782
358008,Gianluca Gaetano,Midfield,Italy - Serie A,Cagliari Calcio,24.65982203969884,998,0.5410821643286573,4000000.0,11227594.15801634,2.806898539504085,-1.032080151198901,-1.0499787224084862,0.4355277462595577
634131,Aimar Oroz,Midfield,Spain - LaLiga,CA Osasuna,23.096509240246405,2983,0.2715387194099899,15000000.0,36287164.87409894,2.4191443249399294,-0.8834138929072068,-1.0409060252588673,0.4461770408809116
284854,Carles Aleñá,Midfield,Spain - LaLiga,Deportivo Alavés,26.989733059548254,1549,0.1162040025823111,2500000.0,7179583.293511604,2.8718333174046418,-1.0549506123863832,-1.0280855216389284,0.4461770408809116
585959,Arnaud Kalimuendo,Attack,France - Ligue 1,Stade Rennais FC,22.94866529774127,2591,0.7294480895407179,22000000.0,49279957.249075934,2.239998056776179,-0.806474998355938,-1.0056626502913546,0.5384759850371825
471890,Max Geschwill,Defender,Germany - Bundesliga,Holstein Kiel,23.48802190280629,1285,0.2101167315175097,1500000.0,4377962.808147998,2.918641872098665,-1.0711183957869377,-1.0001615348591923,0.4233984470101193
480883,Miguel de la Fuente,Attack,Spain - LaLiga,CD Leganés,25.3305954825462,1719,0.2094240837696334,2000000.0,5695269.414666586,2.8476347073332926,-1.046488722448796,-0.9982691914555026,0.37904911067644154
569140,Lassine Sinayoko,Attack,France - Ligue 1,AJ Auxerre,25.06776180698152,2307,0.5461638491547465,4000000.0,10607735.150572458,2.6519337876431144,-0.9752891050598684,-0.9872438070020753,0.5384759850371825
566615,Mikael Egill Ellertsson,Midfield,Italy - Serie A,Venezia FC,22.811772758384667,2480,0.1451612903225806,3400000.0,9109956.433350377,2.679398950985405,-0.985592497349664,-0.9819868008315643,0.4355277462595577
314965,Pedro Pereira,Defender,Italy - Serie A,AC Monza,26.94318959616701,2674,0.1346297681376215,1500000.0,4268052.920651767,2.845368613767845,-1.0456926246574143,-0.9726235367733578,0.393297256701782
852727,Diego García,Attack,Spain - LaLiga,CD Leganés,24.70636550308008,1190,0.226890756302521,1500000.0,4254882.449073239,2.8365882993821594,-1.0426020269957732,-0.969277217215466,0.37904911067644154
628498,Jofre Carreras,Attack,Spain - LaLiga,RCD Espanyol Barcelona,23.54277891854894,2178,0.2892561983471075,3000000.0,8013113.778474536,2.6710379261581787,-0.982467133262574,-0.9661664200249372,0.37904911067644154
764859,Williot Swedberg,Attack,Spain - LaLiga,Celta de Vigo,20.91718001368925,1347,0.6013363028953229,5000000.0,12547941.223318018,2.5095882446636035,-0.920118693735926,-0.9498714812918954,0.37904911067644154
481834,Andrea Carboni,Defender,Italy - Serie A,AC Monza,23.906913073237508,2196,0.040983606557377,2800000.0,7411303.710337263,2.646894182263308,-0.9733869459681,-0.9495481538273017,0.393297256701782
785353,Pablo Ibáñez,Midfield,Spain - LaLiga,CA Osasuna,26.28336755646817,1289,0.1396431342125678,2000000.0,5328819.756442301,2.6644098782211505,-0.9799825990343064,-0.9258621607713037,0.4461770408809116
329373,Carlo Boukhalfa,Midfield,Germany - Bundesliga,FC St. Pauli,25.66735112936345,1654,0.1088270858524788,2000000.0,5219220.954889673,2.6096104774448365,-0.9592009678385516,-0.9032577742159966,0.3189398516478032
880245,Mateus Fernandes,Midfield,England - Premier League,Southampton FC,20.47912388774812,2922,0.1848049281314168,15000000.0,31605184.22402654,2.107012281601769,-0.7452709637570187,-0.8846582294477896,0.3167842881045617
651569,Daniel Mosquera,Attack,Italy - Serie A,Hellas Verona,25.201916495551,1363,0.3961848862802641,1500000.0,3895761.725135985,2.59717448342399,-0.9544241169558454,-0.8738970990593442,0.4547213607799616
392516,Antonino Gallo,Defender,Italy - Serie A,US Lecce,24.99110198494182,2615,0.0688336520076481,4300000.0,10118279.591349956,2.3530882770581294,-0.8557286258532724,-0.8627963879836003,0.393297256701782
706024,Marko Ivezic,Defender,Germany - Bundesliga,Holstein Kiel,23.082819986310746,1655,0.0,2000000.0,4989624.417568711,2.494812208784355,-0.9142134593504778,-0.8543588997183249,0.4233984470101193
527425,Luke Woolfenden,Defender,England - Premier League,Ipswich Town,26.19849418206708,1187,0.0,2000000.0,4968902.588878369,2.484451294439185,-0.9100518281003946,-0.8498378261320692,0.4268281384923291
392966,Nadir Zortea,Defender,Italy - Serie A,Cagliari Calcio,25.53867214236824,2727,0.264026402640264,5000000.0,11352260.328979854,2.2704520657959706,-0.8199789595937332,-0.8390419773581075,0.393297256701782
552425,Jon Moncayola,Midfield,Spain - LaLiga,CA Osasuna,26.639288158795345,2113,0.0,7000000.0,15351179.569542443,2.193025652791777,-0.7852821669468035,-0.8372684705924067,0.4461770408809116
327251,Ridle Baku,Defender,Germany - Bundesliga,RB Leipzig,26.73511293634497,2453,0.330207908683245,9000000.0,19125770.65284042,2.12508562809338,-0.7538120971378923,-0.831119672196887,0.4233984470101193
905997,Pablo Durán,Attack,Spain - LaLiga,Celta de Vigo,23.60574948665298,1394,0.5164992826398852,3500000.0,8147898.601762818,2.327971029075091,-0.8449970852363844,-0.8303253352583031,0.37904911067644154
357796,Domagoj Bradarić,Defender,Italy - Serie A,Hellas Verona,25.062286105407257,1944,0.0462962962962962,4000000.0,9198086.465758916,2.299521616439729,-0.8327011084492995,-0.8300635978797013,0.393297256701782
520840,José Copete,Defender,Spain - LaLiga,RCD Mallorca,25.229295003422312,1523,0.0,3000000.0,7041061.341779887,2.347020447259962,-0.8531466289144305,-0.8244370563905201,0.4716122906083466
488755,Jakov Medic,Defender,Germany - Bundesliga,VfL Bochum,26.31895961670089,1604,0.0561097256857855,2000000.0,4842812.94436597,2.421406472182985,-0.8843485581973969,-0.8219234977192458,0.4233984470101193
696164,Tim Oermann,Defender,Germany - Bundesliga,VfL Bochum,21.240246406570844,2217,0.081190798376184,5000000.0,11164755.723259516,2.2329511446519037,-0.8033240938241839,-0.8206319006318417,0.4233984470101193
507486,Simon Sohm,Midfield,Italy - Serie A,Parma Calcio 1913,23.72621492128679,3000,0.12,5000000.0,11124498.096459571,2.2248996192919144,-0.7997117996755101,-0.8166397699213681,0.4355277462595577
469709,David Zec,Defender,Germany - Bundesliga,Holstein Kiel,24.99110198494182,1545,0.116504854368932,2500000.0,5746272.842175196,2.2985091368700785,-0.8322607114009379,-0.7848400692240483,0.4233984470101193
540333,Tomas Suslov,Midfield,Italy - Serie A,Hellas Verona,22.570841889117045,2097,0.0429184549356223,6000000.0,12708162.155101037,2.1180270258501728,-0.7504850071781508,-0.7816088910897432,0.4355277462595577
