player_id,name,position,league,club_name,age,minutes,goal_contributions_per90,market_value_eur,pred_eur,mispricing_ratio,residual,segment_uncertainty
241923,Lorenzo Montipò,Goalkeeper,Italy - Serie A,Hellas Verona,28.865160848733744,3240,0.0,2000000.0,23617292.17976681,11.808646089883405,-2.4688319826453977,0.5408848665307211
257376,Domingos Duarte,Defender,Spain - LaLiga,Getafe CF,29.815195071868583,1861,0.0483610961848468,800000.0,5760190.077071842,7.200237596339802,-1.974114024969177,0.47161229060834664
94308,Marko Dmitrovic,Goalkeeper,Spain - LaLiga,CD Leganés,32.93908281998631,2880,0.0,800000.0,5193067.886213567,6.491334857766959,-1.8704681887297987,0.5636986910783222
449796,Alejandro Catena,Defender,Spain - LaLiga,CA Osasuna,30.17932922655715,3076,0.1170351105331599,3000000.0,17352957.23815152,5.78431907938384,-1.7551506492034576,0.47161229060834664
308989,Sergio González,Defender,Spain - LaLiga,CD Leganés,32.70088980150582,2961,0.060790273556231,800000.0,4391376.758812382,5.489220948515477,-1.702786341720909,0.47161229060834664
278531,Sebastiano Luperto,Defender,Italy - Serie A,Cagliari Calcio,28.32032854209445,3240,0.1111111111111111,4000000.0,20340648.108457476,5.085162027114369,-1.626326892732191,0.39329725670178206
123551,Sam Morsy,Midfield,England - Premier League,Ipswich Town,33.31143052703628,2757,0.0652883569096844,500000.0,2541582.6723570675,5.083165344714135,-1.6259341668977676,0.3167842881045617
274461,Felix Passlack,Defender,Germany - Bundesliga,VfL Bochum,26.595482546201232,2345,0.2686567164179104,2000000.0,10081388.95060347,5.040694475301735,-1.6175438653093295,0.4233984470101193
351955,Federico Baschirotto,Defender,Italy - Serie A,US Lecce,28.281998631074607,3420,0.0526315789473684,3600000.0,17985166.338820167,4.995879538561158,-1.6086134803956131,0.39329725670178206
311178,Georgios Kyriakopoulos,Defender,Italy - Serie A,AC Monza,28.90622861054073,2851,0.1894072255349,2500000.0,12377783.865703423,4.951113546281369,-1.5996125101258727,0.39329725670178206
249513,Diego Rico,Defender,Spain - LaLiga,Getafe CF,31.854893908282,2820,0.0957446808510638,1200000.0,5870269.4531843625,4.8918912109869686,-1.5875789794310826,0.47161229060834664
296428,Timon Weiner,Goalkeeper,Germany - Bundesliga,Holstein Kiel,25.95482546201232,2250,0.0,1000000.0,4801927.939730639,4.801927939730638,-1.5690174913829757,0.579806104461345
807688,Yassin Belkhdim,Midfield,France - Ligue 1,Angers SCO,22.88021902806297,1519,0.1184990125082291,1000000.0,4801576.252963985,4.801576252963986,-1.5689442500411168,0.5289156290844801
284884,Óscar Rodríguez,Midfield,Spain - LaLiga,CD Leganés,26.51334702258727,1323,0.3401360544217687,2000000.0,9330087.956443895,4.665043978221948,-1.540097261526455,0.4461770408809116
