player_id,name,position,league,club_name,age,minutes,goal_contributions_per90,market_value_eur,pred_eur,mispricing_ratio,quality,potential,value_efficiency,exit_prob,uncertainty,risk,score
655012,Lucas Stassin,Attack,France - Ligue 1,AS Saint-Étienne,20.09034907597536,1868,0.8190578158458244,18000000.0,31076444.626198445,1.7264691458999135,0.9023746701846965,0.7622808403095876,0.8179419525065963,0.1353242066196978,0.07427055702917772,0.11700811174254176,0.6465881127948515
660860,Diego Coppola,Defender,Italy - Serie A,Hellas Verona,21.01300479123888,2926,0.0615174299384825,10000000.0,27139272.56385668,2.713927256385668,0.8892794376098418,0.6913073237508554,0.9314586994727593,0.1291822877052238,0.7884615384615384,0.32696606293211816,0.6049731614092867
585959,Arnaud Kalimuendo,Attack,France - Ligue 1,Stade Rennais FC,22.94866529774127,2591,0.7294480895407179,22000000.0,49279957.249075934,2.239998056776179,0.8284960422163589,0.5424103617122099,0.9472295514511874,0.0929601594858481,0.07427055702917772,0.08735327874884698,0.5975514597442462
503160,Paul Nebel,Midfield,Germany - Bundesliga,1.FSV Mainz 05,22.22861054072553,2349,0.6130268199233716,24000000.0,28865613.527644783,1.2027338969851993,0.9596412556053812,0.5977991891749592,0.6547085201793722,0.0750464554360878,0.3395225464190981,0.1543892827309909,0.5853880842452994
607223,Rayan Cherki,Midfield,France - Ligue 1,Olympique Lyon,21.377138945927445,2048,0.8349609375,45000000.0,47429292.10722999,1.0539842690495551,0.9910313901345291,0.6632970041594273,0.57847533632287,0.0534086320743383,0.6909814323607427,0.24468047216025962,0.579444210419464
565821,Mika Biereth,Attack,France - Ligue 1,AS Monaco,21.897330595482547,1239,1.0895883777239708,30000000.0,29536599.414261486,0.9845533138087162,0.9709762532981531,0.6232822618859579,0.5092348284960422,0.1222884133181664,0.07427055702917772,0.10788305643146978,0.5759326085387575
469050,Nathan Collins,Defender,England - Premier League,Brentford FC,23.67419575633128,3420,0.1842105263157894,28000000.0,42916710.1952619,1.532739649830782,0.9982425307557118,0.48660032643605544,0.7293497363796133,0.0614866949697979,0.5431034482758621,0.20597172096161714,0.5757105704571122
566931,Xavi Simons,Midfield,Germany - Bundesliga,RB Leipzig,21.700205338809035,2157,0.7093184979137692,70000000.0,59931818.37186062,0.8561688338837232,0.9775784753363229,0.6384457431685358,0.4798206278026906,0.0316471862514329,0.3395225464190981,0.12400979430173248,0.5729260688600386
532826,Mason Greenwood,Attack,France - Ligue 1,Olympique Marseille,23.252566735112936,2818,0.8623136976579134,40000000.0,47805984.34834658,1.1951496087086646,0.9234828496042217,0.5190333280682358,0.6464379947229552,0.0369574928354717,0.07427055702917772,0.04815141209358351,0.5726346459044109
729814,Georges Mikautadze,Attack,France - Ligue 1,Olympique Lyon,24.16974674880219,1434,1.0669456066945606,22000000.0,29278371.264055625,1.3308350574570738,0.9683377308707124,0.44848101932290846,0.7071240105540897,0.1569107983833368,0.07427055702917772,0.13211872597708907,0.5660395175508766
