player_id,name,position,league,club_name,age,minutes,goal_contributions_per90,market_value_eur,pred_eur,mispricing_ratio,quality,potential,value_efficiency,exit_prob,uncertainty,risk,score
655012,Lucas Stassin,Attack,France - Ligue 1,AS Saint-Étienne,20.09034907597536,1868,0.8190578158458244,18000000.0,31076444.626198445,1.7264691458999135,0.9023746701846965,0.7622808403095876,0.8179419525065963,0.1353242066196978,0.07427055702917772,0.11700811174254176,0.6465881127948515
660860,Diego Coppola,Defender,Italy - Serie A,Hellas Verona,21.01300479123888,2926,0.0615174299384825,10000000.0,27139272.56385668,2.713927256385668,0.8892794376098418,0.6913073237508554,0.9314586994727593,0.1291822877052238,0.7884615384615384,0.32696606293211816,0.6049731614092867
983989,Facundo Buonanotte,Midfield,England - Premier League,Leicester City,20.024640657084188,1514,0.416116248348745,20000000.0,20297220.37313564,1.014861018656782,0.8609865470852018,0.7673353340704471,0.5672645739910314,0.2486090878530812,0.21883289124668434,0.23967622887116213,0.5586967940214063
